NDTI_p0_peak,NDTI_p100_peak,NDTI_p25_peak,NDTI_p50_peak,NDTI_p75_peak
0.16620456,0.28215197,0.1869858,0.20656449,0.22938779
0.15521319,0.25368044,0.16870053,0.18882467,0.21245588
0.12337862,0.24874385,0.14919713,0.17826773,0.20274977
0.15521319,0.25368044,0.16870053,0.18882467,0.21245588
0.12337862,0.24874385,0.14919713,0.17826773,0.20274977
0.16219336,0.26343605,0.17213374,0.18805315,0.2141016
0.16620456,0.28215197,0.1869858,0.20656449,0.22938779
0.11714696,0.25108093,0.14839363,0.17493817,0.20016524
0.11714696,0.25108093,0.14839363,0.17493817,0.20016524
0.11714696,0.25108093,0.14839363,0.17493817,0.20016524
0.050879516,0.20008978,0.10648762,0.1264172,0.18182868
0.026733156,0.1403933,0.06359845,0.075571045,0.12711585
0.050879516,0.20008978,0.10648762,0.1264172,0.18182868
-0.018691886,0.027111217,-0.008107259,-0.001150774,0.008318932
0.050879516,0.20008978,0.10648762,0.1264172,0.18182868
0.026733156,0.1403933,0.06359845,0.075571045,0.12711585
0.09723035,0.20903416,0.12786728,0.13458598,0.16615905
0.13501723,0.31100628,0.17801759,0.23567517,0.28076673
0.13560787,0.2882272,0.15886582,0.20579678,0.25307697
0.13742858,0.29974174,0.17619608,0.22438738,0.25863308
0.13917495,0.27675235,0.1573156,0.20243777,0.24370842
0.130218,0.29535133,0.17030978,0.22862642,0.2692923
0.13560787,0.2882272,0.15886582,0.20579678,0.25307697
0.13501723,0.31100628,0.17801759,0.23567517,0.28076673
